idx	index	artists	name	danceability
6981	6981	['Wisin & Yandel']	Pegao	0.788
12163	12163	['Oro Solido']	El Baile del Beeper (Version Mexico)	0.763
31288	31288	['Quasimoto']	Low Class Conspiracy	0.757
26797	26797	['ZAYN', 'Taylor Swift']	I Don’t Wanna Live Forever (Fifty Shades Darker)	0.731
21190	21190	['50 Cent']	Many Men (Wish Death)	0.653
34281	34281	['Mickey Avalon']	Stroke Me	0.736
7293	7293	['Tribal Seeds']	Vampire - Feat. Whiteboy John	0.780
11569	11569	['Banda Los Recoditos']	No Te Quiero Perder	0.698
4487	4487	['Red Hot Chili Peppers']	Bicycle Song - 2006 Remaster	0.685
11101	11101	['Intocable']	Por Ella (Poco A Poco)	0.488
41219	41219	['blackbear']	Different Hos	0.795
37895	37895	['Talking Heads', 'Jerry Harrison']	Wild Wild Life - 2003 Remaster	0.647
40335	40335	['Gummibär']	I Am Your Gummy Bear (The Gummy Bear Song)	0.928
26588	26588	['Machine Gun Kelly', 'Kid Rock']	Bad Mother F*cker	0.631
10768	10768	['Blue']	One Love	0.683
4829	4829	['Red Hot Chili Peppers']	Warlocks	0.671
21872	21872	['P!nk']	Raise Your Glass	0.700
7968	7968	['Denzel Curry']	ULT	0.772
40544	40544	['Sergio Vega "El Shaka"']	La Número 20	0.690
1148	1148	['Childish Gambino']	Hold You Down	0.584
29909	29909	['Rebelution']	Green to Black	0.788
1079	1079	['The Black Keys']	I'm Not the One	0.604
28035	28035	['The Dangerous Summer']	The Permanent Rain	0.570
35862	35862	['Young Gunz', 'Chingy']	Can't Stop, Won't Stop	0.855
20708	20708	['Chris Brown']	Undecided	0.407
31244	31244	['Joyner Lucas', 'Logic']	Isis (feat. Logic)	0.884
38282	38282	['Metallica']	Broken, Beat & Scarred	0.323
39271	39271	['flora cash']	You're Somebody Else	0.713
39735	39735	['Jimmy Gonzalez Y Grupo Mazz']	Ahora Qué Hago Sin Ti	0.611
9265	9265	['Tribal Seeds']	Island Girl	0.801
23389	23389	['311']	Love Song	0.625
36484	36484	['Kesha']	Sleazy	0.756
40125	40125	['The Human League']	(Keep Feeling) Fascination - Remastered	0.711
7305	7305	['Marc Anthony']	Abrázame Muy Fuerte	0.419
38971	38971	['Jinsang']	Egyptian Pools	0.665
5260	5260	['Emarosa']	A Toast to the future kids!	0.334
20840	20840	['Grupo Firme']	Te Hice Mal	0.499
1482	1482	['Alvvays']	Adult Diversion	0.327
32062	32062	['Chalino Sanchez']	Que Me Entierren Cantando	0.426
7183	7183	['Neil Patrick Harris']	My Freeze Ray	0.810
5423	5423	['Of Monsters and Men']	King And Lionheart	0.520
28615	28615	['Bohnes']	Middle Finger	0.685
4748	4748	['Alesana']	Apology	0.298
26092	26092	['Of Mice & Men']	SECOND & SEBRING	0.273
4818	4818	['Cham']	Ghetto Story	0.613
6349	6349	['Snake River Conspiracy']	Lovesong	0.524
7356	7356	['Farruko']	Te Iré a Buscar	0.735
30437	30437	['Jawga Boyz']	Chillin in the Backwoods	0.690
24811	24811	['Khalid']	Saturday Nights	0.551
29530	29530	['Billy Talent']	Try Honesty	0.462
38917	38917	['French Montana', 'Jeremih']	Bad B*tch	0.706
33802	33802	['Vicentico']	Los Caminos de la Vida	0.647
18923	18923	['Boyz II Men', 'Mariah Carey']	One Sweet Day - w / Mariah Carey	0.572
